,Release Date,Actual,Forecast
396,"Nov 01, 1991  (Oct)",16K,
397,"Oct 04, 1991  (Sep)",32K,
398,"Sep 06, 1991  (Aug)",6K,
399,"Aug 02, 1991  (Jul)",-36K,
400,"Jul 05, 1991  (Jun)",97K,
401,"Jun 07, 1991  (May)",-125K,
402,"May 03, 1991  (Apr)",-211K,
403,"Apr 05, 1991  (Mar)",-158K,
404,"Mar 01, 1991  (Feb)",-305K,
405,"Feb 01, 1991  (Jan)",-120K,
406,"Jan 04, 1991  (Dec)",-56K,
407,"Dec 07, 1990  (Nov)",-150K,
408,"Nov 02, 1990  (Oct)",-159K,
409,"Oct 05, 1990  (Sep)",-88K,
410,"Sep 07, 1990  (Aug)",-221K,
411,"Aug 03, 1990  (Jul)",-28K,
412,"Jul 06, 1990  (Jun)",23K,
413,"Jun 01, 1990  (May)",152K,
414,"May 04, 1990  (Apr)",40K,
415,"Apr 06, 1990  (Mar)",215K,
416,"Mar 02, 1990  (Feb)",248K,
417,"Feb 02, 1990  (Jan)",335K,
418,"Jan 05, 1990  (Dec)",96K,
419,"Dec 01, 1989  (Nov)",277K,
420,"Nov 03, 1989  (Oct)",111K,
421,"Oct 06, 1989  (Sep)",250K,
422,"Sep 01, 1989  (Aug)",49K,
423,"Aug 04, 1989  (Jul)",40K,
424,"Jul 07, 1989  (Jun)",116K,
425,"Jun 02, 1989  (May)",118K,
426,"May 05, 1989  (Apr)",173K,
427,"Apr 07, 1989  (Mar)",193K,
428,"Mar 03, 1989  (Feb)",258K,
429,"Feb 03, 1989  (Jan)",262K,
430,"Jan 06, 1989  (Dec)",290K,
431,"Dec 02, 1988  (Nov)",339K,
432,"Nov 04, 1988  (Oct)",268K,
433,"Oct 07, 1988  (Sep)",339K,
434,"Sep 02, 1988  (Aug)",124K,
435,"Aug 05, 1988  (Jul)",222K,
436,"Jul 01, 1988  (Jun)",363K,
437,"Jun 03, 1988  (May)",229K,
438,"May 06, 1988  (Apr)",245K,
439,"Apr 01, 1988  (Mar)",276K,
440,"Mar 04, 1988  (Feb)",453K,
441,"Feb 05, 1988  (Jan)",94K,
442,"Jan 01, 1988  (Dec)",294K,
443,"Dec 04, 1987  (Nov)",232K,
444,"Nov 06, 1987  (Oct)",492K,
445,"Oct 02, 1987  (Sep)",228K,
446,"Sep 04, 1987  (Aug)",171K,
447,"Aug 07, 1987  (Jul)",347K,
448,"Jul 03, 1987  (Jun)",172K,
449,"Jun 05, 1987  (May)",226K,
450,"May 01, 1987  (Apr)",338K,
451,"Apr 03, 1987  (Mar)",249K,
452,"Mar 06, 1987  (Feb)",232K,
453,"Feb 06, 1987  (Jan)",172K,
454,"Jan 02, 1987  (Dec)",205K,
455,"Dec 05, 1986  (Nov)",186K,
456,"Nov 07, 1986  (Oct)",186K,
457,"Oct 03, 1986  (Sep)",347K,
458,"Sep 05, 1986  (Aug)",114K,
459,"Aug 01, 1986  (Jul)",318K,
460,"Jul 04, 1986  (Jun)",-94K,
461,"Jun 06, 1986  (May)",127K,
462,"May 02, 1986  (Apr)",187K,
463,"Apr 04, 1986  (Mar)",94K,
464,"Mar 07, 1986  (Feb)",107K,
465,"Feb 07, 1986  (Jan)",125K,
466,"Jan 03, 1986  (Dec)",167K,
467,"Dec 06, 1985  (Nov)",209K,
468,"Nov 01, 1985  (Oct)",188K,
469,"Oct 04, 1985  (Sep)",203K,
470,"Sep 06, 1985  (Aug)",193K,
471,"Aug 02, 1985  (Jul)",190K,
472,"Jul 05, 1985  (Jun)",146K,
473,"Jun 07, 1985  (May)",274K,
474,"May 03, 1985  (Apr)",196K,
475,"Apr 05, 1985  (Mar)",346K,
476,"Mar 01, 1985  (Feb)",124K,
477,"Feb 01, 1985  (Jan)",266K,
478,"Jan 04, 1985  (Dec)",128K,
479,"Dec 07, 1984  (Nov)",349K,
480,"Nov 02, 1984  (Oct)",286K,
481,"Oct 05, 1984  (Sep)",310K,
482,"Sep 07, 1984  (Aug)",242K,
483,"Aug 03, 1984  (Jul)",313K,
484,"Jul 06, 1984  (Jun)",379K,
485,"Jun 01, 1984  (May)",308K,
486,"May 04, 1984  (Apr)",363K,
487,"Apr 06, 1984  (Mar)",275K,
488,"Mar 02, 1984  (Feb)",481K,
489,"Feb 03, 1984  (Jan)",446K,
490,"Jan 06, 1984  (Dec)",356K,
491,"Dec 02, 1983  (Nov)",353K,
